experiment date,position,mass
06/11/18,A,0.00434
06/11/18,B,0.00414
06/11/18,C,0.00391
06/11/18,D,0.00457
06/11/18,E,0.00481
06/11/18,F,0.0047
06/11/18,G,0.00372
06/11/18,H,0.00395
06/11/18,I,0.00325
06/04/18,A,0.00651
06/04/18,B,0.00632
06/04/18,C,0.00599
06/04/18,D,0.00622
06/04/18,E,0.00626
06/04/18,F,0.00616
06/04/18,G,0.00655
06/04/18,H,0.00652
06/04/18,I,0.00582
05/24/18,A,0.01655
05/24/18,B,0.00585
05/24/18,C,0.01856
05/24/18,D,0.00555
05/24/18,E,0.01319
05/24/18,F,0.02388
05/24/18,G,0.00383
05/24/18,H,0.00508
05/24/18,I,0.0178
