"","X1","mass_avg","mass_sd","dow_dens","ddow_dens","kt","dkt","k.s.d","dk.s.d","k.bg","dk.bg","k.c","dk.c","effective.collector.efficiency","deffective.collector.efficiency"
"1","control1",0.0122244444444444,0.00309279449329854,0,0,0.000161968017952469,5.88539368659537e-06,2.26303538998522e-05,5.829817427204e-06,0.00013937604941819,1.27237538924996e-05,-3.83853655731674e-08,1.51828371260989e-05,-Inf,NA
"2","control2",0.0122244444444444,0.00309279449329854,0,0,0.000202563604978202,8.07517261012294e-06,2.50110196023832e-05,6.45016274352156e-06,0.00013937604941819,1.27237538924996e-05,3.81765359576293e-05,1.63922824895769e-05,Inf,NA
"3","low1",0.0088325,0.003283785924813,278,5,0.000271163674033514,2.09077997165458e-05,2.11780627069037e-05,8.07850754831053e-06,0.00013937604941819,1.27237538924996e-05,0.00011060956190842,2.57738682838297e-05,0.00189871687889638,0.000453655682683155
"4","low2",0.00989,0.00313556613707955,278,5,0.000233460382400067,2.11516582455619e-05,2.17680235948e-05,7.24886893969685e-06,0.00013937604941819,1.27237538924996e-05,7.23163093870767e-05,2.57261085389697e-05,0.00124137728134589,0.000446453435291024
"5","mid1",0.00937111111111111,0.00311716395319706,960,5,0.000236530062526062,1.73275684907811e-05,2.07731864842371e-05,7.12234337471688e-06,0.00013937604941819,1.27237538924996e-05,7.63808266236348e-05,2.26465520127675e-05,0.000379686762425608,0.000114160560732862
"6","mid2_biof",0.00770125,0.00232814725540657,960,5,0.000251640680709741,1.64920070781266e-05,1.76733475872783e-05,5.50132684143853e-06,0.00013937604941819,1.27237538924996e-05,9.45912837042727e-05,2.15440202283187e-05,0.00047021038984467,0.000109638124840391
"7","high1",0.00749428571428571,0.00350966692219674,1450,50,0.000222923274248588,9.05086364240979e-06,1.60939757098093e-05,7.57954161438873e-06,0.00013937604941819,1.27237538924996e-05,6.74532491205891e-05,1.73568861514571e-05,0.000221997051549179,5.86792236548896e-05
"8","high2_biof",0.00744666666666667,0.00285717955333577,1450,50,0.000295846615805936,4.84893614117101e-05,1.88459637643775e-05,7.95060119136259e-06,0.00013937604941819,1.27237538924996e-05,0.000137624602623369,5.07575033126772e-05,0.000452939723457882,0.000169278865671428
"9","high3_biof",0.00843,0.00308581917811138,1450,50,0.000434644574336886,8.57413374911423e-05,2.81029161193579e-05,1.17522193050417e-05,0.00013937604941819,1.27237538924996e-05,0.000267165608799338,8.7473341804693e-05,0.00087927532330968,0.000292752572752663
"10","modelcontrol3 (10 Hz)",0.0173475,0.00352126499185408,0,0,0.000212041490780483,1.39147997151298e-05,3.63070986686437e-05,7.87472764029865e-06,0.00013937604941819,1.27237538924996e-05,3.63583426936492e-05,2.04334749770556e-05,Inf,NA
"11","modelcontrol4 (20 Hz)",0.00994571428571429,0.00345572885289947,0,0,0.000228698643392392,1.48316285480076e-05,2.16493260770411e-05,7.69386758526708e-06,0.00013937604941819,1.27237538924996e-05,6.76732678971607e-05,2.10015884380824e-05,Inf,NA
"12","modellow3 (10 Hz)",0.0114022222222222,0.00218796011034124,278,5,0.000223580672509111,1.83201410897631e-05,2.45241167935891e-05,5.23169600555568e-06,0.00013937604941819,1.27237538924996e-05,5.96805062973321e-05,2.2910524344944e-05,0.00307341560782005,0.00119095641059917
